stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
1TECH,ONETECH SOLUTIONS HOLDINGS BERHAD,03041,SOFTWARE,TECHNOLOGY,LEAP Market,<span class='up fw-bold'>0.00</span>,Bursa
3A,THREE-A RESOURCES BHD,0012,FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.005</span>,Bursa
99SMART,99 SPEED MART RETAIL HOLDINGS BERHAD,5326,RETAILERS,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.03</span>,Bursa
AASIA,ASTRAL ASIA BHD,7054,PLANTATION,PLANTATION,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AAX,AIRASIA X BERHAD,5238,"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.12</span>,Bursa
ABFMY1,ABF MALAYSIA BOND INDEX FUND,0800EA,BOND FUND,EXCHANGE TRADED FUND-BOND,Exchange Traded Fund,<span class='up fw-bold'>0.00</span>,Bursa
ABLEGLOB,ABLE GLOBAL BERHAD,7167,FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>+0.06</span>,Bursa
ABLEGRP,ABLEGROUP BERHAD,7086,BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ABMB,ALLIANCE BANK MALAYSIA BERHAD,2488,BANKING,FINANCIAL SERVICES,Main Market,<span class='down fw-bold'>-0.05</span>,Bursa
ACME,ACME HOLDINGS BERHAD,7131,PROPERTY,PROPERTY,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ACO,ACO GROUP BERHAD,0218,INDUSTRIAL SERVICES,INDUSTRIAL PRODUCTS & SERVICES,Ace Market,<span class='down fw-bold'>-0.005</span>,Bursa
ADB,AUTOCOUNT DOTCOM BERHAD,0276,SOFTWARE,TECHNOLOGY,Ace Market,<span class='down fw-bold'>-0.01</span>,Bursa
ADVCON,ADVANCECON HOLDINGS BERHAD,5281,CONSTRUCTION,CONSTRUCTION,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
ADVENTA,ADVENTA BHD,7191,HEALTH CARE EQUIPMENT & SERVICES,HEALTH CARE,Main Market,<span class='down fw-bold'>-0.01</span>,Bursa
AEM,AE MULTI HOLDINGS BHD,7146,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",INDUSTRIAL PRODUCTS & SERVICES,Main Market,<span class='up fw-bold'>0.00</span>,Bursa
AEMULUS,AEMULUS HOLDINGS BERHAD,0181,TECHNOLOGY EQUIPMENT,TECHNOLOGY,Ace Market,<span class='down fw-bold'>-0.01</span>,Bursa
AEON,AEON CO. (M) BHD,6599,RETAILERS,CONSUMER PRODUCTS & SERVICES,Main Market,<span class='down fw-bold'>-0.04</span>,Bursa
AEONCR,AEON CREDIT SERVICE (M) BHD,5139,OTHER FINANCIALS,FINANCIAL SERVICES,Main Market,<span class='down fw-bold'>-0.30</span>,Bursa
