stock_symbol,company_name,stock_code,sector,subsector,mkt,chg,exchange
17LIVE GROUP,,LVR,,Financial and Insurance Activities,Mainboard,<span class='down fw-bold'>-0.01</span>,SGX
17LIVE W281207,,VT2W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
2ndChance W230308,,ZFSW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
3Cnergy,3Cnergy Ltd,502,,Real Estate Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
3Cnergy Ltd,,PPC,,Accommodation and Food Service Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
5E Resources,5E Resources Ltd,NLC,,"Water Supply; Sewerage, Waste Management and Remediation Activities",Catalist,<span class='up fw-bold'>0.00</span>,SGX
8Telecom,8Telecom International Holdings Co Ltd,AZG,,Information and Communications,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
9R,9R Ltd,1Y1,,Mining and Quarrying,Catalist,<span class='up fw-bold'>0.00</span>,SGX
9RW270628,,KJZW,,,Catalist,<span class='up fw-bold'>0.00</span>,SGX
A Lion-Nomura Japan S$,,JJJ,,,Mainboard,<span class='down fw-bold'>-0.014</span>,SGX
A Lion-Nomura Japan US$,,JUS,,,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
A-Smart,A-Smart Holdings Ltd,BQC,,Manufacturing,Mainboard,<span class='down fw-bold'>-0.002</span>,SGX
A-Smart R,,9H8R,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
A-Smart R1,,Z1TR,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
A-Sonic Aero,A-Sonic Aerospace Ltd,BTJ,,Wholesale and Retail Trade,Mainboard,<span class='up fw-bold'>+0.005</span>,SGX
A-Sonic Aero W220408^,,8YMW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AAC 5xLongSG220630,,DALW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AAC 5xLongSG230331,,DAFW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AAC 5xLongSG230620,,DAOW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AAC 5xLongSG231214,,DATW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AAC 5xLongSG240201,,DKAW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AAC 5xLongSG240327,,DCZW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AAC 5xShortSG220621,,DBGW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AAC 5xShortSG220630,,DASW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AAC 5xShortSG221201,,DYDW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AAC 5xShortSG230825,,DWTW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AAC 5xShortSG231123,,DQLW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ABF SG BOND ETF,,A35,,,Mainboard,<span class='up fw-bold'>+0.001</span>,SGX
ABR,ABR Holdings Ltd,533,,Wholesale and Retail Trade,Mainboard,<span class='up fw-bold'>+0.005</span>,SGX
ACH ADR US$,,K3HD,,Manufacturing,Global Quote,<span class='up fw-bold'></span>,SGX
AEM SGD,AEM Holdings Ltd,AWX,,Manufacturing,Mainboard,<span class='up fw-bold'>+0.01</span>,SGX
AEM USD,AEM Holdings Ltd,XWA,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AF Global,AF Global Ltd,L38,,Accommodation and Food Service Activities,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
AGV,AGV Group Ltd,1A4,,Other Service Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AIA 5xLongSG220225,,DPWW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AIA 5xLongSG241213,,DWGW,,,Mainboard,<span class='up fw-bold'>+0.004</span>,SGX
AIA 5xLongSG250423,,KLOW,,,Mainboard,<span class='up fw-bold'>+0.465</span>,SGX
AIA 5xLongUB250430,,QPCW,,,Mainboard,<span class='up fw-bold'>+0.004</span>,SGX
AIA 5xLongUB250626,,WGFW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AIA 5xShortSG220225,,DAAW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AIA 5xShortSG240125,,DUXW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AIA 5xShortSG250327,,DIMW,,,Mainboard,<span class='down fw-bold'>-0.066</span>,SGX
AIA 5xShortUB250430,,1X5W,,,Mainboard,<span class='down fw-bold'>-0.011</span>,SGX
AIA MBeCW240703,,JMBW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AIA MBeCW240903,,ZM2W,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AIA MBePW241203,,ZCIW,,,Mainboard,<span class='down fw-bold'>-0.009</span>,SGX
AIMS APAC Reit,AIMS APAC REIT,O5RU,,Real Estate Activities,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AIMS Property,Aims Property Securities Fund,BVP,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AIS TH SDR,,TADD,,Information and Communications,Global Quote,<span class='up fw-bold'>+0.01</span>,SGX
ALIHLTH 5xLongSG220323,,DUQW,,,Mainboard,<span class='up fw-bold'></span>,SGX
ALIHLTH 5xLongSG231012,,DXZW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ALIHLTH 5xShortSG220216,,DBBW,,,Mainboard,<span class='up fw-bold'></span>,SGX
ALIHLTH 5xShortSG231012,,DYMW,,,Mainboard,<span class='up fw-bold'></span>,SGX
AMOS Group,AMOS Group Ltd,49B,,"Professional, Scientific and Technical Activities",Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AMOS Group R,,TODR,,"Professional, Scientific and Technical Activities",Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AMOS Group R1,,FURR,,"Professional, Scientific and Technical Activities",Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AMTD IDEA OV,AMTD IDEA Group,HKB,,Financial and Insurance Activities,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ANTA 5xLongSG231019,,DZDW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ANTA 5xLongSG240620,,DBPW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ANTA 5xLongUB250430,,QTTW,,,Mainboard,<span class='up fw-bold'>+0.002</span>,SGX
ANTA 5xShortSG231019,,DXGW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ANTA 5xShortUB250430,,OMYW,,,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
ANTA MBeCW241203,,USKW,,,Mainboard,<span class='up fw-bold'>+0.015</span>,SGX
ANTA MBePW241203,,WJBW,,,Mainboard,<span class='down fw-bold'>-0.001</span>,SGX
AOT TH SDR,,TATD,,Transportation and Storage,Global Quote,<span class='up fw-bold'>+0.04</span>,SGX
AP Oil,AP Oil International Ltd,5AU,,Manufacturing,Mainboard,<span class='up fw-bold'>0.00</span>,SGX
AP Strat W230130,,1H7W,,,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AP Strat W230726,,FIAW,,,Catalist,<span class='up fw-bold'>0.00</span>,SGX
AP Strategic,Asia-Pacific Strategic Investments Ltd,5RA,,Financial and Insurance Activities,Catalist,<span class='up fw-bold'>0.00</span>,SGX
